	on_demand	greedy	time_sliced_1	time_sliced_1_avg	time_sliced_2	time_sliced_2_avg	time_sliced_4	time_sliced_4_avg	time_sliced_8	time_sliced_8_avg	time_sliced_16	time_sliced_16_avg	ideal
mean	1.0	0.7742742814980679	0.6423232408349718	0.6889518380939439	0.6469026936472386	0.5986116900739522	0.6211641023814359	0.6249907008616585	0.6743046807788853	0.680535584616776	0.7356469673428772	0.7414442838727189	0.4315939427143388
p90	1.0	0.9136431349933298	0.733737182531605	0.7833256213673471	0.7400013795598972	0.711381018612751	0.731124115159327	0.7444519189452031	0.8107514869846439	0.8236510505009401	0.875710699504717	0.8864095257480166	0.48617816676843556
p95	1.0	0.9397445552615521	0.7634267589388687	0.8126260657665605	0.7703551292489318	0.7537321731460748	0.7631244657032366	0.7751377807178241	0.8427200171879609	0.8591918266729999	0.9018830483750608	0.9113224042788983	0.5014766775222177
std	0.0	0.10932770562656646	0.07077474961401647	0.06212136535500211	0.07246409085795087	0.080506266371938	0.08502944249566204	0.09025648678982202	0.1016865076758811	0.10694382801063768	0.1101366409377707	0.11372003816058492	0.03858574595021312
